timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops,halow_channel_active_ms,halow_channel_busy_ms,halow_channel_busy_pct
2025-12-06T13:27:49.543833,-21.0,-80.0,12.5,,4226540,451936,,2,,,
2025-12-06T13:27:53.572908,-21.0,-82.0,12.5,,4226540,451936,,2,,,
2025-12-06T13:27:56.606831,-22.0,-80.0,15.4,,4226798,451936,,2,,,
2025-12-06T13:28:00.142875,-22.0,-82.0,15.4,,4226798,451936,,2,,,
2025-12-06T13:28:04.092101,-22.0,-82.0,15.4,,4226798,451936,,2,,,
2025-12-06T13:28:07.357913,-22.0,-80.0,15.4,,4226798,451936,,2,,,
2025-12-06T13:28:10.450065,-22.0,-82.0,15.4,,4226798,451936,,2,,,
2025-12-06T13:28:13.524355,-25.0,-80.0,15.4,,4227056,451936,,2,,,
2025-12-06T13:28:16.792545,-25.0,-82.0,15.4,,4227056,451936,,2,,,
2025-12-06T13:28:19.958658,-25.0,-80.0,15.4,,4227056,451936,,2,,,
2025-12-06T13:28:22.960256,-25.0,-82.0,15.4,,4227056,451936,,2,,,
2025-12-06T13:28:26.260187,-21.0,-82.0,15.4,,4227228,451936,,2,,,
2025-12-06T13:28:29.851487,-21.0,-82.0,15.4,,4227314,451936,,2,,,
2025-12-06T13:28:33.052633,-23.0,-82.0,15.4,,4227400,451936,,2,,,
2025-12-06T13:28:36.049392,-21.0,-82.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:28:39.235057,-21.0,-82.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:28:43.011476,-21.0,-82.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:28:46.025058,-21.0,-80.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:28:49.198935,-21.0,-82.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:28:52.250836,-21.0,-82.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:28:55.229071,-21.0,-78.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:28:58.820941,-21.0,-82.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:29:01.867114,-21.0,-80.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:29:04.864465,-21.0,-80.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:29:07.958908,-21.0,-80.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:29:11.439987,-21.0,-82.0,15.4,,4227572,451936,,2,,,
2025-12-06T13:29:14.584670,-21.0,-80.0,15.4,,4227658,451936,,2,,,
2025-12-06T13:29:17.680052,-21.0,-82.0,15.4,,4227830,451936,,2,,,
2025-12-06T13:29:20.681783,-21.0,-80.0,15.4,,4227830,451936,,2,,,
2025-12-06T13:29:24.622047,-21.0,-82.0,15.4,,4227830,451936,,2,,,
2025-12-06T13:29:27.702005,-21.0,-82.0,15.4,,4227830,451936,,2,,,
2025-12-06T13:29:30.763731,-22.0,-80.0,13.9,,4228088,451936,,2,,,
2025-12-06T13:29:33.890852,-22.0,-82.0,13.9,,4228088,451936,,2,,,
2025-12-06T13:29:37.659229,-21.0,-82.0,13.9,,4228260,451936,,2,,,
2025-12-06T13:29:40.657952,-23.0,-80.0,13.9,,4228346,451936,,2,,,
2025-12-06T13:29:43.986624,-23.0,-84.0,13.9,,4228432,451936,,2,,,
2025-12-06T13:29:47.018436,-24.0,-82.0,13.9,,4228604,451936,,2,,,
2025-12-06T13:29:50.728363,-24.0,-84.0,13.9,,4228604,451936,,2,,,
2025-12-06T13:29:53.823409,-24.0,-82.0,13.9,,4228604,451936,,2,,,
2025-12-06T13:29:56.811605,-24.0,-80.0,13.9,,4228604,451936,,2,,,
2025-12-06T13:29:59.878259,-24.0,-80.0,13.9,,4228604,451936,,2,,,
2025-12-06T13:30:03.764953,-23.0,-82.0,13.9,,4228604,451950,,2,,,
2025-12-06T13:30:06.923781,-23.0,-84.0,11.1,,4228862,451950,,2,,,
2025-12-06T13:30:10.064780,-24.0,-80.0,13.9,,4228862,451950,,2,,,
2025-12-06T13:30:13.269389,-24.0,-80.0,13.9,,4228862,451950,,2,,,
2025-12-06T13:30:16.843156,-24.0,-80.0,13.9,,4228862,451950,,2,,,
2025-12-06T13:30:19.960641,-24.0,-80.0,13.9,,4228862,451950,,2,,,
2025-12-06T13:30:23.138676,-23.0,-82.0,13.9,,4228948,451950,,2,,,
2025-12-06T13:30:26.285539,-23.0,-82.0,13.9,,4229120,451950,,2,,,
2025-12-06T13:30:29.975137,-23.0,-84.0,13.9,,4229120,451950,,2,,,
2025-12-06T13:30:33.027394,-23.0,-82.0,15.4,,4229292,451950,,2,,,
2025-12-06T13:30:36.191165,-21.0,-82.0,15.4,,4229378,451950,,2,,,
2025-12-06T13:30:39.306697,-21.0,-82.0,15.4,,4229378,451950,,2,,,
2025-12-06T13:30:43.060410,-21.0,-80.0,15.4,,4229378,451950,,2,,,
2025-12-06T13:30:46.088192,-23.0,-82.0,12.3,,4229636,451950,,2,,,
2025-12-06T13:30:51.159804,-23.0,-78.0,12.3,,4229636,451950,,2,,,
2025-12-06T13:30:56.981996,-23.0,-80.0,12.3,,4229636,451950,,2,,,
2025-12-06T13:31:00.687347,-23.0,-80.0,12.3,,4229636,451950,,2,,,
2025-12-06T13:31:03.906093,-23.0,-82.0,12.3,,4229636,451950,,2,,,
2025-12-06T13:31:07.121903,-23.0,-86.0,12.3,,4229636,451950,,2,,,
2025-12-06T13:31:10.181265,-23.0,-82.0,12.3,,4229636,451950,,2,,,
2025-12-06T13:31:14.204431,-24.0,-82.0,12.3,,4229636,452040,,2,,,
2025-12-06T13:31:17.296751,-22.0,-82.0,12.3,,4229722,452082,,2,,,
2025-12-06T13:31:20.468105,-22.0,-82.0,12.3,,4229722,452082,,2,,,
2025-12-06T13:31:23.751242,-22.0,-80.0,12.3,,4229722,452082,,2,,,
2025-12-06T13:31:27.428971,-21.0,-84.0,12.3,,4229894,452082,,2,,,
2025-12-06T13:31:30.524011,-24.0,-82.0,12.3,,4230104,452164,,2,,,
2025-12-06T13:31:33.639940,-24.0,-82.0,12.3,,4230190,452206,,2,,,
2025-12-06T13:31:36.827059,-23.0,-80.0,13.9,,4230448,452206,,2,,,
2025-12-06T13:31:40.540503,-23.0,-78.0,13.9,,4230448,452206,,2,,,
2025-12-06T13:31:43.782264,-23.0,-82.0,13.9,,4230448,452206,,2,,,
2025-12-06T13:31:46.913410,-23.0,-80.0,13.9,,4230534,452206,,2,,,
2025-12-06T13:31:50.081007,-24.0,-82.0,13.9,,4230706,452296,,2,,,
2025-12-06T13:31:54.161523,-20.0,-84.0,13.9,,4230792,452338,,2,,,
2025-12-06T13:31:57.273731,-25.0,-90.0,13.9,,4231050,452338,,2,,,
2025-12-06T13:32:00.371676,-25.0,-82.0,13.9,,4231050,452338,,2,,,
